keyword,title,up,play,danmu,pubdate,bvid,link,scene
抽牌建议,五一出行建议，随机分组抽牌,地上长出的果子,220,0,1745942721,BV1YxG2zNE36,https://www.bilibili.com/video/BV1YxG2zNE36,情感
抽牌建议,【塔罗Q&amp;A】新牌开牌仪式与抽取牌灵,鬼易De神秘学馆,98108,104,1722742200,BV1tcvqehEu1,https://www.bilibili.com/video/BV1tcvqehEu1,情感
抽牌建议,塔罗新手教学：如何洗牌、抽牌？线上与线下抽牌有什么区别？,秋刀喵和鱼,21396,3,1698724703,BV1Nu4y1J7Qd,https://www.bilibili.com/video/BV1Nu4y1J7Qd,情感
抽牌建议,小白必看！塔罗咨询洗牌抽牌完整教程，线上线下如何抽牌？全程干货,koro塔罗,790,0,1764142529,BV1NJUhBDE4K,https://www.bilibili.com/video/BV1NJUhBDE4K,情感
抽牌建议,【KARDS】国土阵线版本金银万能牌合成建议！最适合攒卡的版本可能来了！新手福音！,影依永不伏笔,19196,34,1764404265,BV1WaUZB4EWa,https://www.bilibili.com/video/BV1WaUZB4EWa,情感
抽牌建议,【辛夷小课】给新手的一些塔罗答疑（包含抽牌洗牌+如何确定好一个问题+如何抽日运+答疑交流）,辛夷xinyiTarot,26621,15,1762869746,BV1YrkyBHEbM,https://www.bilibili.com/video/BV1YrkyBHEbM,情感
抽牌建议,【龙女塔罗】塔罗22张大牌精神课题分享,龙女塔罗,293413,425,1665825439,BV1Qe4y1E77h,https://www.bilibili.com/video/BV1Qe4y1E77h,情感
抽牌建议,【仙女塔罗】已经抽了牌阵，关于补牌加牌怎么弄,普通人小仙女,1718,0,1725087969,BV1U6nZeWE5d,https://www.bilibili.com/video/BV1U6nZeWE5d,情感
抽牌建议,【里歐靈性塔羅】一些建議--抽牌  中文人生塔罗,爱的占卜,1269,4,1586858406,BV13t4y127eW,https://www.bilibili.com/video/BV13t4y127eW,情感
抽牌建议,塔罗新手教学｜如何洗牌和抽牌,木声Tarot,3895,0,1711103445,BV14p42127mF,https://www.bilibili.com/video/BV14p42127mF,情感
水逆,其实你并不是运气差，而是老天在帮你！,小陆今天有更自洽吗,251219,398,1682585013,BV1gh4y1n7CP,https://www.bilibili.com/video/BV1gh4y1n7CP,日常
水逆,"无敌的运气Sub UNBEATABLE LUCK 100% WIN RATE AT ANYTHING (LOTTERY, JACKPOT) SUBLIMINAL",Reb1rth9,2278711,23469,1684494920,BV13V4y167ix,https://www.bilibili.com/video/BV13V4y167ix,日常
水逆,【强效sub】去晦气专用/小人退散/磁场清理/清除霉运/解除限流/情绪稳定/清洁排毒/恶意举报者挡灾10w+暴叠,灵能天才小八,124626,8096,1753195334,BV16XgpzrEtS,https://www.bilibili.com/video/BV16XgpzrEtS,日常
水逆,经常倒霉？事事不顺？！水逆转运法则！三招教你成为“锦鲤女孩”！！,李大药Bigyo,8581,368,1655464270,BV1ha411s7WD,https://www.bilibili.com/video/BV1ha411s7WD,日常
水逆,【龙女塔罗】关于这段关系的指引,龙女塔罗,194321,1589,1765298112,BV18umpBaEqL,https://www.bilibili.com/video/BV18umpBaEqL,日常
水逆,12星座11月注意事项全解析 水逆退散,Acrux心理实验室,1211,1,1761799946,BV1pbybBwE2S,https://www.bilibili.com/video/BV1pbybBwE2S,日常
水逆,【Cassie】担忧的事有超预期的好结果/清除焦虑/排负,Cassie_v,289974,3079,1754447984,BV1aGtcz3Edr,https://www.bilibili.com/video/BV1aGtcz3Edr,日常
水逆,第37期 别把霉运当水逆！被人“借运”的3大征兆，中一条赶紧绝交❗,天涯神贴-最后的楼主,6049,2,1764679010,BV11CS4BrEAG,https://www.bilibili.com/video/BV11CS4BrEAG,日常
水逆,【小转】“赶跑水逆的事请交给我 你要负责幸福生活 好好发光！”,小转在灵修嘛,46301,39,1684240817,BV1yu411t7aq,https://www.bilibili.com/video/BV1yu411t7aq,日常
水逆,【𝐬𝐮𝐛】神女法则·气运缠身·意外获得想要的一切,applenblossom,122624,455,1761323881,BV1htspzfEVA,https://www.bilibili.com/video/BV1htspzfEVA,日常
水逆,运势 | 今年最后一次水逆对12星座的影响,我是Alex大叔,3831,1,1762826400,BV1oh16BpEZN,https://www.bilibili.com/video/BV1oh16BpEZN,日常
水逆,【午一科普】水逆=倒霉？五分钟带你全面了解水逆是什么！,是午一塔罗啦,1689,3,1628178150,BV1u54y1E7sh,https://www.bilibili.com/video/BV1u54y1E7sh,日常
水逆,【粉丝福利】⚡️水逆急救包｜🔮灵气保护+水逆中和盾牌防护罩🛡️｜减低水逆所带来的负面影响｜水逆退散｜减低水逆影响｜保护罩｜灵气｜reiki,ainiyabbb,1968,15,1752834249,BV1QWu2zREjR,https://www.bilibili.com/video/BV1QWu2zREjR,日常
水逆,2025 你十二月的运势如何？（好消息/注意事项）【有缘人进】,舒蔓EnergyReading,50828,1354,1763985079,BV15WUCBiE6A,https://www.bilibili.com/video/BV15WUCBiE6A,日常
水逆,你所想的这件事能否成功？Yes or No？宇宙想对你说什么？【大众占卜】,Adeline流明塔罗,40129,2102,1764944835,BV17V27BhEZy,https://www.bilibili.com/video/BV17V27BhEZy,日常
水逆,【占卜/测字】如何度过水逆期？关于你的幸运小方法,小狼爱吃饼,2049,0,1764233265,BV1L3SuB6EW2,https://www.bilibili.com/video/BV1L3SuB6EW2,日常
水逆,水逆自救小方法,朔日谈,83,0,1763551375,BV1tPynBjEsy,https://www.bilibili.com/video/BV1tPynBjEsy,日常
水逆,水逆【前任专场】塔罗占卜 | 你们会复合吗 TA当下想法💡＋感受＋评价全揭秘,下饺子weee,12745,95,1763636608,BV1pBycBHEzy,https://www.bilibili.com/video/BV1pBycBHEzy,日常
水逆,vlog109｜北京日常水逆的一周｜赶上特大冰雹｜超市采购｜看展｜宝宝生病｜夜宵时刻,奶兮naixi,27303,0,1758337200,BV1fhWLzSEoH,https://www.bilibili.com/video/BV1fhWLzSEoH,日常
水逆,【小神仙本尊】水逆结束前，他会追妻火葬场吗？分手/断联/前任/复合/暧昧断联,Ace会塔罗的小神仙,10739,981,1763805600,BV1b3UJB4EZi,https://www.bilibili.com/video/BV1b3UJB4EZi,日常
运势,【龙女塔罗】十二月综合运势,龙女塔罗,311444,5058,1764915329,BV1RL2VBkEyY,https://www.bilibili.com/video/BV1RL2VBkEyY,日常
运势,【Venus塔罗】12月综合运势2025 学业 工作 感情,Venus塔罗,68047,1261,1764929712,BV1bh2LBgEWA,https://www.bilibili.com/video/BV1bh2LBgEWA,日常
运势,【龙女塔罗】2026年对你意味着什么？这一年对人生的意义,龙女塔罗,212332,1993,1765508464,BV1Rsm5BEEQ7,https://www.bilibili.com/video/BV1Rsm5BEEQ7,日常
运势,「𝑱𝒊𝒂𝒆𝒏 𝒔𝒕𝒖𝒅𝒊𝒐」私占级12星座12月运势（190分钟完整版）｜只要不停，就已经领先大多数人！,每天看星盘的高嘉恩,12165,9,1764073800,BV1W3UVBAE8e,https://www.bilibili.com/video/BV1W3UVBAE8e,日常
运势,职场办公室布局 改变你的运势,中智商业管理,1156,0,0,,https://www.bilibili.com/video/,日常
运势,2025冬季（12月～明年2月）属于你的好消息是什么？,舒蔓EnergyReading,16187,515,1765693806,BV1fXmvBSEtD,https://www.bilibili.com/video/BV1fXmvBSEtD,日常
运势,「𝑱𝒊𝒂𝒆𝒏 𝒔𝒕𝒖𝒅𝒊𝒐」超详细！12星座一周运势｜12月15日--12月21日｜做一个可靠的人！,每天看星盘的高嘉恩,3016,4,1765629000,BV1nzmQBeEs3,https://www.bilibili.com/video/BV1nzmQBeEs3,日常
运势,【大众占卜】2026年度运势预测,手套先生争取月更,37328,250,1765093437,BV1DAmFBTE9q,https://www.bilibili.com/video/BV1DAmFBTE9q,日常
运势,【唐绮阳直播2025/12月运势】12月重整秩序，整理情绪拥抱变化,ZZZqdomino,17147,4,1764606111,BV1gCSyBeED6,https://www.bilibili.com/video/BV1gCSyBeED6,日常
运势,2026综合运势｜好消息/事业/爱情/人际 详细解析,Alice疗愈塔罗,62047,1730,1764500323,BV18LSTBFEmE,https://www.bilibili.com/video/BV18LSTBFEmE,日常
运势,12月15日~12月21日 星座运势周报 唐琦阳,YouTube玄学精選,3810,0,1765676864,BV1jZmYBzEta,https://www.bilibili.com/video/BV1jZmYBzEta,日常
运势,【舅舅塔罗】“十二月运势”｜感情 工作 学习｜不限性别 不限地点｜,丝瓜舅舅,68656,1894,1764674339,BV1b5StBnE6W,https://www.bilibili.com/video/BV1b5StBnE6W,日常
运势,你的十二月运势 2025 学业事业 挑战和好消息 pick a card,酒友Tarot,161549,2762,1764295800,BV1xhUqBqETV,https://www.bilibili.com/video/BV1xhUqBqETV,日常
运势,【Venus塔罗】你什么时候会结婚？契机 时间点 推运未来十年,Venus塔罗,38033,463,1765633800,BV1cRmABFEYj,https://www.bilibili.com/video/BV1cRmABFEYj,日常
运势,【塔莉亚塔罗】春节前你会迎来的好事,塔莉亚塔罗,50815,925,1764862800,BV1B22iBSEhj,https://www.bilibili.com/video/BV1B22iBSEhj,日常
运势,【超准】十二星座本周运势解密（12.15-12.21）快来领取好运吧！,Luka大叔星座馆,14739,308,1765620000,BV1DEmKBnEpc,https://www.bilibili.com/video/BV1DEmKBnEpc,日常
运势,【十九塔罗】当下你焦虑的事情会有怎样的结果（不限时）,Evangeline十九,262581,22922,1745250846,BV1Ki51z4Eo8,https://www.bilibili.com/video/BV1Ki51z4Eo8,日常
运势,塔罗牌年运解读教学,湘卉Carrie,2505,0,0,,https://www.bilibili.com/video/,日常
运势,【龙女塔罗＆摩登女巫】未来五年运势分析2024-2028 综合运势,龙女塔罗,495114,11058,1696485614,BV1Mu4y1x7UN,https://www.bilibili.com/video/BV1Mu4y1x7UN,日常
运势,【龙女塔罗】关于这段关系的指引,龙女塔罗,194321,1589,1765298112,BV18umpBaEqL,https://www.bilibili.com/video/BV18umpBaEqL,日常
运势,【塔罗周运】12.15-12.21整体周运？领取好运~,汐月塔罗,2373,52,1765596600,BV1U2mEBSEAR,https://www.bilibili.com/video/BV1U2mEBSEAR,日常
运势,【Venus塔罗】12月综合运势2025 学业 工作 感情,Venus塔罗,68047,1261,1764929712,BV1bh2LBgEWA,https://www.bilibili.com/video/BV1bh2LBgEWA,日常
运势,【超准】十二星座本周运势解密（12.15-12.21）快来领取好运吧！,Luka大叔星座馆,14739,308,1765620000,BV1DEmKBnEpc,https://www.bilibili.com/video/BV1DEmKBnEpc,日常
运势,【龙女塔罗】十二月综合运势,龙女塔罗,311444,5058,1764915329,BV1RL2VBkEyY,https://www.bilibili.com/video/BV1RL2VBkEyY,日常
运势,明天下午5点到7点做事会很顺利！,你的好朋友目清,24264,2690,1765490400,BV1Z5mGB7EfZ,https://www.bilibili.com/video/BV1Z5mGB7EfZ,日常
运势,【Venus塔罗】你什么时候会结婚？契机 时间点 推运未来十年,Venus塔罗,38033,463,1765633800,BV1cRmABFEYj,https://www.bilibili.com/video/BV1cRmABFEYj,日常
运势,【12.15-12.21】下周综合运势来喽！,禾已Tarot,3726,27,1765537183,BV1Upm7B7E5e,https://www.bilibili.com/video/BV1Upm7B7E5e,日常
运势,「𝑱𝒊𝒂𝒆𝒏 𝒔𝒕𝒖𝒅𝒊𝒐」超详细！12星座一周运势｜12月15日--12月21日｜做一个可靠的人！,每天看星盘的高嘉恩,3016,4,1765629000,BV1nzmQBeEs3,https://www.bilibili.com/video/BV1nzmQBeEs3,日常
运势,曾仕强教授：2026年九紫离火年，是一道大坎，这四种人恐怕撑不过去，千万要注意，现在改掉还来得及！,国学知识库---,237450,0,1761378631,BV1W1sozLE2N,https://www.bilibili.com/video/BV1W1sozLE2N,日常
运势,12月14日黄历解析，提前一天了解#日历 #老黄历#传统文化#星座运势#电子黄历,圆心起运,400,2,1765640353,BV1bemZBwEnV,https://www.bilibili.com/video/BV1bemZBwEnV,日常
运势,注意！明天运势较为波折！速看！,师叔助你,5220,601,1765598696,BV1x8mQB6ECd,https://www.bilibili.com/video/BV1x8mQB6ECd,日常
运势,【舅舅塔罗】“十二月运势”｜感情 工作 学习｜不限性别 不限地点｜,丝瓜舅舅,68656,1894,1764674339,BV1b5StBnE6W,https://www.bilibili.com/video/BV1b5StBnE6W,日常
运势,周易占卜丨2026年你一定会发生的大事,壬子承,76895,769,1765101875,BV1LZmcBJEzm,https://www.bilibili.com/video/BV1LZmcBJEzm,日常
运势,【唐绮阳直播2025/12月运势】12月重整秩序，整理情绪拥抱变化,ZZZqdomino,17147,4,1764606111,BV1gCSyBeED6,https://www.bilibili.com/video/BV1gCSyBeED6,日常
运势,2025 你十二月的运势如何？（好消息/注意事项）【有缘人进】,舒蔓EnergyReading,50828,1354,1763985079,BV15WUCBiE6A,https://www.bilibili.com/video/BV15WUCBiE6A,日常
运势,【龙女塔罗】2026年对你意味着什么？这一年对人生的意义,龙女塔罗,212332,1993,1765508464,BV1Rsm5BEEQ7,https://www.bilibili.com/video/BV1Rsm5BEEQ7,日常
运势,【神预言】下一个阶段的人生～（能量+指引）,月亮上的白房子,17694,108,1765523595,BV18FmjB5EGJ,https://www.bilibili.com/video/BV18FmjB5EGJ,日常
运势,周易占卜丨戊子月运（2025.12.7-1.4）好消息/挑战,壬子承,61406,580,1764527800,BV1fvSzBvEmq,https://www.bilibili.com/video/BV1fvSzBvEmq,日常
运势,2026综合运势｜好消息/事业/爱情/人际 详细解析,Alice疗愈塔罗,62047,1730,1764500323,BV18LSTBFEmE,https://www.bilibili.com/video/BV18LSTBFEmE,日常
运势,十二星座2026运势简测,Alice疗愈塔罗,18238,278,1765335725,BV1SQmsB6Eqq,https://www.bilibili.com/video/BV1SQmsB6Eqq,日常
星盘运势,【星盘冷知识】两步教你如何看运势（快速简单法）,占星师Siv,2580,0,1705810853,BV1Fe41127E4,https://www.bilibili.com/video/BV1Fe41127E4,其他
星盘运势,「𝑱𝒊𝒂𝒆𝒏 𝒔𝒕𝒖𝒅𝒊𝒐」私占级12星座12月运势（190分钟完整版）｜只要不停，就已经领先大多数人！,每天看星盘的高嘉恩,12165,9,1764073800,BV1W3UVBAE8e,https://www.bilibili.com/video/BV1W3UVBAE8e,其他
星盘运势,五步看懂自己的星盘 |  出生星盘详解① | 占星知识教学,云瞳占星与象征性研究,214424,381,1728465182,BV1jh2PYwEiV,https://www.bilibili.com/video/BV1jh2PYwEiV,其他
星盘运势,【龙女塔罗】十二月综合运势,龙女塔罗,311444,5058,1764915329,BV1RL2VBkEyY,https://www.bilibili.com/video/BV1RL2VBkEyY,其他
星盘运势,星盘里有落陷的星体该怎么办？,白申一,4986,9,1718864553,BV11y411z7sW,https://www.bilibili.com/video/BV11y411z7sW,其他
星盘运势,【猪大人的占星理论】星盘从行运盘看你何时谈恋爱？,神叨叨猪大人,12326,0,1621679667,BV1x64y1d7di,https://www.bilibili.com/video/BV1x64y1d7di,其他
星盘运势,星盘‼️全网最详细运势教程-月返盘‼️,玄猫鉴星,8362,0,1708095948,BV1q4421w7z5,https://www.bilibili.com/video/BV1q4421w7z5,其他
星盘运势,【龙女塔罗】今生的命定之路和任务：北交点落入12宫🌑🌝🌚♾️/12星座具体分析♈♉♊♋♌♍♎♏ ♐♑♒♓,龙女塔罗,207650,4982,1731849962,BV1W2UkYpE3V,https://www.bilibili.com/video/BV1W2UkYpE3V,其他
星盘运势,【龙女塔罗】婚神星：你会和什么人结婚？💒💍🧙在哪里遇到？👰‍♀️🤵‍♂️（占星小行星系列）🌠🌚❤️‍🔥⚛️,龙女塔罗,492734,5349,1731940188,BV1poUxY6Esh,https://www.bilibili.com/video/BV1poUxY6Esh,其他
星盘运势,星盘如何看运势,星座解忧,323,0,1723463066,BV1jbecekEjk,https://www.bilibili.com/video/BV1jbecekEjk,其他
星盘运势,看完这个视频就可以看懂自己的星盘,是韩沫儿,436589,165,1602493562,BV1bK4y1h72C,https://www.bilibili.com/video/BV1bK4y1h72C,其他
星盘运势,星盘教程 绝对零基础 有模板,爱吃芒果的芒果姐姐v,379687,966,1611738617,BV1aV411q7C6,https://www.bilibili.com/video/BV1aV411q7C6,其他
星盘运势,占星中比较危险的星盘配置！,乱戳讲星盘,26042,15,1735215287,BV1cUCrYeEwb,https://www.bilibili.com/video/BV1cUCrYeEwb,其他
星盘运势,如何通过星盘判断考试运吉凶,星座解忧,531,0,1742878405,BV1SsoWYAEii,https://www.bilibili.com/video/BV1SsoWYAEii,其他
星盘运势,【龙女塔罗】2026年对你意味着什么？这一年对人生的意义,龙女塔罗,212332,1993,1765508464,BV1Rsm5BEEQ7,https://www.bilibili.com/video/BV1Rsm5BEEQ7,其他
星盘运势,如何用星盘看事业？命主星+10宫+北交点 详细解读,白申一,65359,111,1673895256,BV1DY411977A,https://www.bilibili.com/video/BV1DY411977A,其他
星盘运势,【揭秘星盘中的桃花真相】全网最干货-如何拿捏桃花运势,星空之下的金子,2271,2,1706785241,BV1Xm411X7B5,https://www.bilibili.com/video/BV1Xm411X7B5,其他
星盘运势,【龙女塔罗】塔罗探索：十二上升星座人生使命,龙女塔罗,256910,5436,1699084144,BV1n84y197Uf,https://www.bilibili.com/video/BV1n84y197Uf,其他
星盘运势,『灵女』占星学入门   教你快速看懂星盘,灵女塔罗Tarot,233878,1026,1735449403,BV1Ng6bYcEDG,https://www.bilibili.com/video/BV1Ng6bYcEDG,其他
星盘运势,【星盘运势】如何从小行星看你何时谈恋爱,神叨叨猪大人,7091,1,1611671075,BV1LA411p7A9,https://www.bilibili.com/video/BV1LA411p7A9,其他
星盘运势,【大众占卜】2026年度运势预测,手套先生争取月更,37328,250,1765093437,BV1DAmFBTE9q,https://www.bilibili.com/video/BV1DAmFBTE9q,其他
星盘运势,【龙女塔罗】塔罗探索：十二上升星座人生使命,龙女塔罗,256910,5436,1699084144,BV1n84y197Uf,https://www.bilibili.com/video/BV1n84y197Uf,其他
星盘运势,《普通人人生剧本》星盘和（7+1）字共同解读89年女生事业、感情,Aria禹成,2018,17,1752937019,BV1Y5udzXEZD,https://www.bilibili.com/video/BV1Y5udzXEZD,其他
星盘运势,【Tiger莉莉:)】2026年大方向运势状态 你的变化你即将迎接的人事物,tiger莉莉香,23511,189,1765023603,BV1UZ2XBjEA9,https://www.bilibili.com/video/BV1UZ2XBjEA9,其他
星盘运势,小白也能看懂的命盘教学，细致分析该如何去选择未来运势。【三连随机抽取免费看】,王慕玄,184823,298,1716636392,BV1pzKQeREHx,https://www.bilibili.com/video/BV1pzKQeREHx,其他
星盘运势,【星盘】超详细解盘思路,九东占星实战,16150,11,1749106609,BV1SMTWzSEVV,https://www.bilibili.com/video/BV1SMTWzSEVV,其他
星盘运势,一个视频解决小白该用什么星盘排盘app！,Aria禹成,33603,1,1745924281,BV1ApG1zEEJr,https://www.bilibili.com/video/BV1ApG1zEEJr,其他
星盘运势,星盘看你会不会成为网红；星座分析；占星技巧：干货分享；星座网红,神奇的C总,19457,759,1621160564,BV1qK4y1d7Rw,https://www.bilibili.com/video/BV1qK4y1d7Rw,其他
星盘运势,【知安命盘】tf家族张桂源八字大运星盘解析 比起身材脑子也不错 金星火星合相桃花多,知安命盘解析,4182,0,1764160455,BV1ahUaBwEtW,https://www.bilibili.com/video/BV1ahUaBwEtW,其他
星盘运势,【龙女塔罗】塔罗探索：十二上升星座适合你的伴侣特质,龙女塔罗,267524,4692,1700559700,BV1wC4y1P7Bi,https://www.bilibili.com/video/BV1wC4y1P7Bi,其他
星盘运势,【龙女塔罗】分享一个生活中的玄学现象,龙女塔罗,190222,296,1764857823,BV1Xp2iBKEAe,https://www.bilibili.com/video/BV1Xp2iBKEAe,其他
星盘运势,紫微速占 2026年运势解读 人生剧本 高光时刻,妙易居士,15012,247,1765360926,BV1KsmbB1E1k,https://www.bilibili.com/video/BV1KsmbB1E1k,其他
星盘运势,（月运）Alex 2025年12月12星座月度运势,我是Alex大叔,7842,4,1764378000,BV1V7UqBjE78,https://www.bilibili.com/video/BV1V7UqBjE78,其他
星盘运势,Gem印占101｜新手小白如何给自己看印占星盘 经验分享与案例分析 含大运、分盘介绍,Gem印占Tarot,10692,4,1759042207,BV1TBnRzBEr7,https://www.bilibili.com/video/BV1TBnRzBEr7,其他
星盘运势,「𝑱𝒊𝒂𝒆𝒏 𝒔𝒕𝒖𝒅𝒊𝒐」超详细！12星座一周运势｜12月8日--12月14日｜心开，话开，路也开！,每天看星盘的高嘉恩,4101,8,1765024200,BV1LDUZB5E51,https://www.bilibili.com/video/BV1LDUZB5E51,其他
星盘运势,【鸭屎香菜】近期周围的人是怎么谈论起你的,-鸭屎香菜-,3839,18,1765638696,BV1RHmZBgEEc,https://www.bilibili.com/video/BV1RHmZBgEEc,其他
星盘运势,星盘分析：小限、流年星推运用法,徐炫占星,332,0,1763122599,BV1tRCuBUEar,https://www.bilibili.com/video/BV1tRCuBUEar,其他
星盘运势,一看就好命的「完美星图」，是什么样 （纯观点分享）,星言言星座,51841,301,1696497506,BV1m94y1h7Gs,https://www.bilibili.com/video/BV1m94y1h7Gs,其他
星盘运势,十二星座2026运势简测,Alice疗愈塔罗,18238,278,1765335725,BV1SQmsB6Eqq,https://www.bilibili.com/video/BV1SQmsB6Eqq,其他
星盘运势,【真就是随便说说】蒋奇明脸蛋➕星盘分析（娱乐向 切勿当真）,绮南不止TAROT,1819,16,1739890585,BV1qfAYepEgP,https://www.bilibili.com/video/BV1qfAYepEgP,其他
MBTI,64型MBTI视角：企业家如何防外向性格的小人？,世保MBTI,832,0,0,,https://www.bilibili.com/video/,人格/自我
MBTI,MBTI的e和i/八维概念/双高问题一次讲清,骨哥说,187448,1314,1704460069,BV18i4y1z7Rj,https://www.bilibili.com/video/BV18i4y1z7Rj,人格/自我
MBTI,【双语字幕】火遍全网的MBTI到底是什么？,Psych字幕酱,23406,1,1680955115,BV12V4y1f7sD,https://www.bilibili.com/video/BV12V4y1f7sD,人格/自我
MBTI,1分钟了解什么是MBTI 中英双字 简单科普 课堂材料 新起点高职英语综合教程2 Personality 听力材料,夏天的韵姐姐Evelyn,24660,1,1679483962,BV1JX4y1d7T7,https://www.bilibili.com/video/BV1JX4y1d7T7,人格/自我
MBTI,[ MBTI]16人格的经典言行,风澈澈澈,316057,766,1689580015,BV1fm4y1j7nJ,https://www.bilibili.com/video/BV1fm4y1j7nJ,人格/自我
MBTI,【王维MBTI】哈利波特开学季｜ 全员向动画｜刻板印象预警,王维诗里的MBTI,1024821,13350,1681473900,BV16v4y1J7nD,https://www.bilibili.com/video/BV16v4y1J7nD,人格/自我
MBTI,【MBTI】假如16型人格成为主角｜全员合集版,青瓜蛋丶,330166,1829,1763257259,BV1edCSBgE8t,https://www.bilibili.com/video/BV1edCSBgE8t,人格/自我
MBTI,【MBTI】从夯到拉瑞平16人格（纯主观）,椮药不是山药,646004,3050,1759060713,BV1jkndz9ETu,https://www.bilibili.com/video/BV1jkndz9ETu,人格/自我
MBTI,大型纪录片《INFP-T传奇》,俄狄浦斯情结患者,3548222,16810,1686855611,BV14h4y1X7QJ,https://www.bilibili.com/video/BV14h4y1X7QJ,人格/自我
MBTI,【mbti大闯关】不接吻就出不去的房间 1,帕芝,1085634,3139,1712915780,BV1jr421V7E1,https://www.bilibili.com/video/BV1jr421V7E1,人格/自我
MBTI,M B T I 刻 板 印 象 52，笑厥了,椮药不是山药,68284,660,1762938905,BV1jYCEBREmD,https://www.bilibili.com/video/BV1jYCEBREmD,人格/自我
MBTI,十八楼群像之MBTI,博君一吻,751755,11604,1721220886,BV1AT421k7KL,https://www.bilibili.com/video/BV1AT421k7KL,人格/自我
MBTI,【全网最详细】INFJ深度解析：从八维底层逻辑看INFJ绿老头,惟志在修行,41581,140,1763722286,BV1j5UjBZExD,https://www.bilibili.com/video/BV1j5UjBZExD,人格/自我
MBTI,【MBTI/16P】十六人格的伸手测试（刻板且缺德）,窗某人,1969144,4822,1714478400,BV1iE42157cB,https://www.bilibili.com/video/BV1iE42157cB,人格/自我
MBTI,MBTI愛情特輯#6：INTJ的愛情｜Sherry&#x27;s Notes 雪力的心理學筆記 #MBTI #INTJ #愛情,雪力的心理学笔记,160473,2690,1680872400,BV1DL411U7ey,https://www.bilibili.com/video/BV1DL411U7ey,人格/自我
MBTI,【深度解读】INTJ型人格——紫老头,惟志在修行,27815,43,1764929852,BV1No25BeE1D,https://www.bilibili.com/video/BV1No25BeE1D,人格/自我
MBTI,【MBTI】如何准确辨别身边人和自己的MBTI？但刻板且缺德,椮药不是山药,314033,7165,1685017061,BV1cu411s7jx,https://www.bilibili.com/video/BV1cu411s7jx,人格/自我
MBTI,【MBTI】16人格底层认知过程大全丨专业知识洗脑,狐狸刷刷的类型学,165969,1797,1722430851,BV1hZ421N7ia,https://www.bilibili.com/video/BV1hZ421N7ia,人格/自我
MBTI,M B T I 刻 板 印 象 40，笑起飞了,椮药不是山药,480631,1498,1717154100,BV1Am421K7jQ,https://www.bilibili.com/video/BV1Am421K7jQ,人格/自我
MBTI,关于ENFP狗勾的千层套路,余欢岁岁平安,1521102,2787,1645236015,BV1ha411C7Ju,https://www.bilibili.com/video/BV1ha411C7Ju,人格/自我
吸引力法则,【震撼】吸引力法则究竟怎么“吸”，才能得到你想要的结果 ｜ 老高与小茉,老高与小茉热门视频,139725,160,1746082800,BV1ZyGQz4ESs,https://www.bilibili.com/video/BV1ZyGQz4ESs,其他
吸引力法则,【修行】为什么钱总是流向有钱人？揭开吸引力法则与财富真相,如是生心,22,0,1765717703,BV12pmiBFE4t,https://www.bilibili.com/video/BV12pmiBFE4t,其他
吸引力法则,《秘密》&quot;吸引力法则“ 全集,苏小叶兮,1142005,8810,1588229432,BV1Ri4y1t7jv,https://www.bilibili.com/video/BV1Ri4y1t7jv,其他
吸引力法则,强力booster *慎用* ｜实现任何愿望的催化剂｜,Evarola,2100700,40791,1687521900,BV13m4y1e7zo,https://www.bilibili.com/video/BV13m4y1e7zo,其他
