keyword,title,up,play,danmu,pubdate,bvid,link
UP主:龙女塔罗,【龙女塔罗】未来的你会过上什么生活？,龙女塔罗,487157,7508,1744730709,BV1iUdfY6ErF,https://www.bilibili.com/video/BV1iUdfY6ErF
UP主:龙女塔罗,【龙女塔罗】我的职业生涯的未来会是怎么样子？,龙女塔罗,548684,8008,1685271402,BV1is4y1T7pd,https://www.bilibili.com/video/BV1is4y1T7pd
UP主:龙女塔罗,【龙女塔罗】明年今日对你说的话,龙女塔罗,479734,12851,1643736770,BV18P4y1A7D8,https://www.bilibili.com/video/BV18P4y1A7D8
UP主:龙女塔罗,【龙女塔罗】关于你的未来可以期待的部分,龙女塔罗,658386,22840,1617096164,BV1aX4y1G7p2,https://www.bilibili.com/video/BV1aX4y1G7p2
UP主:龙女塔罗,【龙女塔罗】你正在吸引什么进入你的生活？,龙女塔罗,259429,2730,1734227554,BV14mq9YcERR,https://www.bilibili.com/video/BV14mq9YcERR
UP主:龙女塔罗,【龙女塔罗】他是如何想你们这段关系的？下下下步预言,龙女塔罗,1093394,35506,1637146093,BV1i341187BS,https://www.bilibili.com/video/BV1i341187BS
UP主:龙女塔罗,内心想着一个人，是前进还是后退,龙女塔罗,640879,19754,1626431912,BV1Lq4y1W7mt,https://www.bilibili.com/video/BV1Lq4y1W7mt
UP主:龙女塔罗,【龙女塔罗】你和他关系发展如何？感情暧昧／断联？〖通灵特别版〗,龙女塔罗,1222248,22827,1600427887,BV1dA411E7CQ,https://www.bilibili.com/video/BV1dA411E7CQ
UP主:龙女塔罗,【龙女塔罗】ta对你们这段关系的想法|下一步行动|爱情向（潜意识读取）,龙女塔罗,519736,5480,1747583063,BV1PCJGz3E2q,https://www.bilibili.com/video/BV1PCJGz3E2q
UP主:龙女塔罗,【龙女塔罗】专注想着一个事情，不做还是做？,龙女塔罗,224784,4945,1635946039,BV1Cu411o7nJ,https://www.bilibili.com/video/BV1Cu411o7nJ
UP主:龙女塔罗,【龙女塔罗】和ta的下一次见面，会发生什么？（暧昧感情向）,龙女塔罗,777312,19630,1630574097,BV1244y187nA,https://www.bilibili.com/video/BV1244y187nA
UP主:龙女塔罗,【龙女塔罗】ta对你怎么想？你们关系的下一步,龙女塔罗,559207,12677,1629989208,BV1Y44y1k7tp,https://www.bilibili.com/video/BV1Y44y1k7tp
UP主:龙女塔罗,【龙女塔罗】如果可以，ta想对你说的话,龙女塔罗,628402,6382,1667567880,BV1ZR4y1f7Qg,https://www.bilibili.com/video/BV1ZR4y1f7Qg
UP主:龙女塔罗,【龙女塔罗】crush占卜:ta对你的想法（crush短暂上头但热烈的爱情）,龙女塔罗,471517,3548,1678609982,BV1B24y147th,https://www.bilibili.com/video/BV1B24y147th
UP主:龙女塔罗,【龙女塔罗】你的状态＆对方状态态度＆发展趋势（恋爱圣三角牌阵）,龙女塔罗,791438,17409,1712487833,BV1CM4m1Q7kg,https://www.bilibili.com/video/BV1CM4m1Q7kg
UP主:龙女塔罗,【龙女塔罗】今年还能不能脱单？,龙女塔罗,482098,8074,1660058961,BV1XU4y1k7wr,https://www.bilibili.com/video/BV1XU4y1k7wr
UP主:龙女塔罗,【龙女塔罗】未来时空的自己给当下的一些叮嘱,龙女塔罗,327887,7306,1622716630,BV16o4y1C7UL,https://www.bilibili.com/video/BV16o4y1C7UL
UP主:龙女塔罗,【龙女塔罗】未来48小时内会有什么好消息？,龙女塔罗,703187,19266,1627977888,BV1s44y1172D,https://www.bilibili.com/video/BV1s44y1172D
UP主:龙女塔罗,【龙女塔罗】ta对你的想法＆对你的期待,龙女塔罗,474645,4519,1660376701,BV1jT411A7PL,https://www.bilibili.com/video/BV1jT411A7PL
UP主:龙女塔罗,【龙女塔罗】“终生不婚”的你会如何，平行时空可能性探索？,龙女塔罗,211234,5858,1675319401,BV1KT411C735,https://www.bilibili.com/video/BV1KT411C735
UP主:龙女塔罗,【龙女塔罗】我们还能再爱吗？还能再捞一把吗？,龙女塔罗,261685,10513,1635575889,BV1334y1U7iH,https://www.bilibili.com/video/BV1334y1U7iH
UP主:龙女塔罗,【龙女塔罗】一年后的你，想对现在的你说的一句话是？,龙女塔罗,99019,3358,1604462494,BV1Fr4y1A7ZY,https://www.bilibili.com/video/BV1Fr4y1A7ZY
UP主:龙女塔罗,【龙女塔罗】你今生的爱情天赋是？,龙女塔罗,124943,1585,1587455331,BV19e411W7RZ,https://www.bilibili.com/video/BV19e411W7RZ
UP主:龙女塔罗,【龙女塔罗】你们能否破镜重圆？分手复合牌阵2021能量更新,龙女塔罗,183909,11649,1630391081,BV1a3411i7yN,https://www.bilibili.com/video/BV1a3411i7yN
UP主:龙女塔罗,【龙女塔罗】财神爷有什么想对你说的话,龙女塔罗,261162,5430,1611046935,BV1Gz4y1S7kP,https://www.bilibili.com/video/BV1Gz4y1S7kP
UP主:龙女塔罗,【龙女塔罗】下一段恋情什么时候到来（单身限定）时间占卜,龙女塔罗,3265837,32805,1603813812,BV1Wi4y177Jn,https://www.bilibili.com/video/BV1Wi4y177Jn
UP主:龙女塔罗,TA是否喜欢你,龙女塔罗,907837,17066,1625493219,BV1uK4y1M7eH,https://www.bilibili.com/video/BV1uK4y1M7eH
UP主:龙女塔罗,【龙女塔罗】塔罗占卜：什么样的爱情正在向你靠近?,龙女塔罗,932203,27113,1615368430,BV1Hy4y187ps,https://www.bilibili.com/video/BV1Hy4y187ps
UP主:龙女塔罗,【龙女塔罗】如果可以，他想对你说的话,龙女塔罗,411202,4414,1658738218,BV1Gd4y1D7sh,https://www.bilibili.com/video/BV1Gd4y1D7sh
UP主:龙女塔罗,【龙女塔罗】内心想着一件事，做了会如何?,龙女塔罗,283283,6817,1624790107,BV1r54y1H7uH,https://www.bilibili.com/video/BV1r54y1H7uH
UP主:龙女塔罗,【龙女塔罗】你正在显化什么？,龙女塔罗,415784,10239,1633177135,BV1X3411y7rU,https://www.bilibili.com/video/BV1X3411y7rU
UP主:龙女塔罗,【龙女塔罗】你和前世的恋人在今生的能量分析：你们相遇了吗？两个人现状分析？转世小秘密；前世你们感情能量分析；彼此能量缠绕,龙女塔罗,536621,20167,1616249618,BV18K4y1T7Zu,https://www.bilibili.com/video/BV18K4y1T7Zu
UP主:龙女塔罗,【龙女塔罗】分手复合牌阵,龙女塔罗,426037,9459,1664447137,BV1yD4y1C7RE,https://www.bilibili.com/video/BV1yD4y1C7RE
UP主:龙女塔罗,【龙女塔罗】要不要做某件事，当前坚持的道路是否是正确的？,龙女塔罗,149751,2356,1601571450,BV1JK411N7TB,https://www.bilibili.com/video/BV1JK411N7TB
UP主:龙女塔罗,【龙女塔罗】和ta未来三个月运势,龙女塔罗,239825,1634,1732850903,BV1FxziYgEDH,https://www.bilibili.com/video/BV1FxziYgEDH
UP主:龙女塔罗,【龙女塔罗】你的正缘类型和结婚类型，关系分析意义讨论【正确的事情、容易的事情】,龙女塔罗,999390,25713,1607590528,BV1nA41147oX,https://www.bilibili.com/video/BV1nA41147oX
UP主:龙女塔罗,【龙女塔罗】心中喜欢的人对你的感觉（女生戳进）,龙女塔罗,990400,11514,1587733047,BV1Jz411z7Cm,https://www.bilibili.com/video/BV1Jz411z7Cm
UP主:龙女塔罗,【龙女塔罗】你未来有几个孩子？男孩女孩？,龙女塔罗,533014,18617,1622630680,BV1Vy4y1u7BA,https://www.bilibili.com/video/BV1Vy4y1u7BA
UP主:龙女塔罗,【龙女塔罗】周五盲盒占卜（夏去秋来）,龙女塔罗,209081,12939,1628258267,BV1E54y1E7x2,https://www.bilibili.com/video/BV1E54y1E7x2
UP主:龙女塔罗,【龙女塔罗】脱单建议,龙女塔罗,496262,21637,1625739815,BV19g411u766,https://www.bilibili.com/video/BV19g411u766
UP主:龙女塔罗,【龙女塔罗】未来某个时空的你想对当下你说的话,龙女塔罗,157089,7204,1600426031,BV1RV411m7wg,https://www.bilibili.com/video/BV1RV411m7wg
UP主:龙女塔罗,【龙女塔罗】有关于你未来的惊喜消息,龙女塔罗,526903,12119,1733199364,BV1Thz2Y2Eut,https://www.bilibili.com/video/BV1Thz2Y2Eut
UP主:龙女塔罗,【龙女塔罗】一生只有一次的爱，会是怎么样的？,龙女塔罗,447126,12829,1672814032,BV1214y1g7Zd,https://www.bilibili.com/video/BV1214y1g7Zd
UP主:龙女塔罗,【龙女塔罗】你会拥有曾经不敢想的什么？,龙女塔罗,463529,9349,1744730786,BV1DJdfY8EWf,https://www.bilibili.com/video/BV1DJdfY8EWf
UP主:龙女塔罗,【龙女塔罗】pick a card；未来，一定会发生一件事,龙女塔罗,528895,12072,1603281887,BV1Gy4y1r7ia,https://www.bilibili.com/video/BV1Gy4y1r7ia
UP主:龙女塔罗,【龙女塔罗】心想着一件事，做还是不做 yes or no 做会如何、不做会如何？,龙女塔罗,473697,10487,1611823669,BV1ZK4y1H7Eo,https://www.bilibili.com/video/BV1ZK4y1H7Eo
UP主:龙女塔罗,【龙女塔罗】此生有多少段感情（婚姻）？深度情感分析 一婚二婚三婚假设,龙女塔罗,397881,12891,1622889033,BV1yK4y1X7NZ,https://www.bilibili.com/video/BV1yK4y1X7NZ
UP主:龙女塔罗,【龙女塔罗】周五盲盒占卜（第六期）,龙女塔罗,205945,12688,1631504886,BV1Bv411w79t,https://www.bilibili.com/video/BV1Bv411w79t
UP主:龙女塔罗,【龙女塔罗】接下来的七天 pick a card 不限时空,龙女塔罗,243978,1957,1733970887,BV1AQqbYHEnQ,https://www.bilibili.com/video/BV1AQqbYHEnQ
UP主:龙女塔罗,【龙女塔罗】任意问题yes or no?（选择牌阵）,龙女塔罗,409226,4045,1719165741,BV1Nm42157mn,https://www.bilibili.com/video/BV1Nm42157mn
UP主:龙女塔罗,【龙女塔罗】不久的将来会发生的几件小事,龙女塔罗,399096,8928,1658735532,BV1Pd4y1D7Va,https://www.bilibili.com/video/BV1Pd4y1D7Va
UP主:龙女塔罗,ta对你感情的想法，读当下时空的一些信息（单身·桃花向）,龙女塔罗,652016,9480,1675220039,BV12s4y1s7Ji,https://www.bilibili.com/video/BV12s4y1s7Ji
